EVENT_LOG | OS-Level Chat Server | 2026-04-24 02:38:11
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
197         758.113  SEM_POST           tid=6   room=-  sem=50   msgs=4    Leo
198         792.496  SEM_BLOCK          tid=7   room=-  sem=50   msgs=0    about to wait
199         792.499  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
200         792.501  PRIVATE_MSG        tid=6   room=-  sem=-1   msgs=0    T6->T7 Mia
201         792.505  PRIVATE_MSG        tid=7   room=P  sem=49   msgs=4    Mia
202         792.505  SEM_POST           tid=7   room=-  sem=50   msgs=4    Mia
203         820.471  SEM_BLOCK          tid=2   room=-  sem=50   msgs=0    about to wait
204         820.476  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
205         820.477  ACQUIRED_LOCK      tid=2   room=A  sem=-1   msgs=0    Nick
206         820.478  RELEASED_LOCK      tid=2   room=A  sem=-1   msgs=0    Nick
207         820.478  MSG_BROADCAST      tid=2   room=A  sem=49   msgs=5    Nick
208         820.478  SEM_POST           tid=2   room=-  sem=50   msgs=5    Nick
209         842.321  SEM_BLOCK          tid=3   room=-  sem=50   msgs=0    about to wait
210         842.323  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
211         842.325  ACQUIRED_LOCK      tid=3   room=B  sem=-1   msgs=0    Olivia
212         842.325  RELEASED_LOCK      tid=3   room=B  sem=-1   msgs=0    Olivia
213         842.326  MSG_BROADCAST      tid=3   room=B  sem=49   msgs=5    Olivia
214         842.326  SEM_POST           tid=3   room=-  sem=50   msgs=5    Olivia
215         873.928  SEM_BLOCK          tid=4   room=-  sem=50   msgs=0    about to wait
216         873.932  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
217         873.933  ACQUIRED_LOCK      tid=4   room=C  sem=-1   msgs=0    Paul
218         873.934  RELEASED_LOCK      tid=4   room=C  sem=-1   msgs=0    Paul
219         873.934  MSG_BROADCAST      tid=4   room=C  sem=49   msgs=5    Paul
220         873.934  SEM_POST           tid=4   room=-  sem=50   msgs=5    Paul
221         894.906  SEM_BLOCK          tid=5   room=-  sem=50   msgs=0    about to wait
222         894.909  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
223         894.911  ACQUIRED_LOCK      tid=5   room=A  sem=-1   msgs=0    Quinn
224         894.912  RELEASED_LOCK      tid=5   room=A  sem=-1   msgs=0    Quinn
225         894.912  MSG_BROADCAST      tid=5   room=A  sem=49   msgs=5    Quinn
226         894.912  SEM_POST           tid=5   room=-  sem=50   msgs=5    Quinn
227         914.040  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
228         914.041  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
229         914.042  ACQUIRED_LOCK      tid=0   room=B  sem=-1   msgs=0    Rose
230         914.042  RELEASED_LOCK      tid=0   room=B  sem=-1   msgs=0    Rose
231         914.043  MSG_BROADCAST      tid=0   room=B  sem=49   msgs=6    Rose
232         914.043  SEM_POST           tid=0   room=-  sem=50   msgs=6    Rose
233         936.484  SEM_BLOCK          tid=1   room=-  sem=50   msgs=0    about to wait
234         936.487  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
235         936.488  ACQUIRED_LOCK      tid=1   room=C  sem=-1   msgs=0    Sam
236         936.489  RELEASED_LOCK      tid=1   room=C  sem=-1   msgs=0    Sam
237         936.489  MSG_BROADCAST      tid=1   room=C  sem=49   msgs=5    Sam
238         936.490  SEM_POST           tid=1   room=-  sem=50   msgs=5    Sam
239         970.590  SEM_BLOCK          tid=6   room=-  sem=50   msgs=0    about to wait
240         970.594  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
241         970.596  ACQUIRED_LOCK      tid=6   room=A  sem=-1   msgs=0    Tina
242         970.597  RELEASED_LOCK      tid=6   room=A  sem=-1   msgs=0    Tina
243         970.597  MSG_BROADCAST      tid=6   room=A  sem=49   msgs=5    Tina
244         970.597  SEM_POST           tid=6   room=-  sem=50   msgs=5    Tina
245        1003.452  SEM_BLOCK          tid=7   room=-  sem=50   msgs=0    about to wait
246        1003.456  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
247        1003.459  PRIVATE_MSG        tid=2   room=-  sem=-1   msgs=0    T2->T5 Alice
248        1003.463  PRIVATE_MSG        tid=7   room=P  sem=49   msgs=5    Alice
249        1003.463  SEM_POST           tid=7   room=-  sem=50   msgs=5    Alice
250        1038.931  SEM_BLOCK          tid=2   room=-  sem=50   msgs=0    about to wait
251        1038.941  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
252        1038.942  ACQUIRED_LOCK      tid=2   room=C  sem=-1   msgs=0    Bob
253        1038.943  RELEASED_LOCK      tid=2   room=C  sem=-1   msgs=0    Bob
254        1038.943  MSG_BROADCAST      tid=2   room=C  sem=49   msgs=6    Bob
255        1038.943  SEM_POST           tid=2   room=-  sem=50   msgs=6    Bob
256        1048.564  SEM_BLOCK          tid=3   room=-  sem=50   msgs=0    about to wait
257        1048.568  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
258        1048.569  ACQUIRED_LOCK      tid=3   room=A  sem=-1   msgs=0    Charlie
259        1048.570  RELEASED_LOCK      tid=3   room=A  sem=-1   msgs=0    Charlie
260        1048.570  MSG_BROADCAST      tid=3   room=A  sem=49   msgs=6    Charlie
261        1048.571  SEM_POST           tid=3   room=-  sem=50   msgs=6    Charlie
262        1070.575  SEM_BLOCK          tid=4   room=-  sem=50   msgs=0    about to wait
263        1070.578  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
264        1070.579  ACQUIRED_LOCK      tid=4   room=B  sem=-1   msgs=0    Diana
265        1070.580  RELEASED_LOCK      tid=4   room=B  sem=-1   msgs=0    Diana
266        1070.580  MSG_BROADCAST      tid=4   room=B  sem=49   msgs=6    Diana
267        1070.580  SEM_POST           tid=4   room=-  sem=50   msgs=6    Diana
268        1090.688  SEM_BLOCK          tid=5   room=-  sem=50   msgs=0    about to wait
269        1090.692  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
