EVENT_LOG | OS-Level Chat Server | 2026-04-15 21:08:52
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
197       19683.552  RELEASED_LOCK      tid=0   room=C  sem=-1   msgs=0    Sam
198       19683.552  MSG_BROADCAST      tid=0   room=C  sem=49   msgs=6    Sam
199       19683.552  SEM_POST           tid=0   room=-  sem=50   msgs=6    Sam
200       20684.285  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
201       20684.287  ACQUIRED_LOCK      tid=2   room=A  sem=-1   msgs=0    Tina
202       20684.288  RELEASED_LOCK      tid=2   room=A  sem=-1   msgs=0    Tina
203       20684.288  MSG_BROADCAST      tid=2   room=A  sem=49   msgs=5    Tina
204       20684.288  SEM_POST           tid=2   room=-  sem=50   msgs=5    Tina
205       21685.924  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
206       21685.930  PRIVATE_MSG        tid=6   room=-  sem=-1   msgs=0    T6->T1 Alice
207       21685.978  PRIVATE_MSG        tid=6   room=P  sem=49   msgs=5    Alice
208       21685.979  SEM_POST           tid=6   room=-  sem=50   msgs=5    Alice
209       22685.493  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
210       22685.496  ACQUIRED_LOCK      tid=1   room=C  sem=-1   msgs=0    Bob
211       22685.497  RELEASED_LOCK      tid=1   room=C  sem=-1   msgs=0    Bob
212       22685.497  MSG_BROADCAST      tid=1   room=C  sem=49   msgs=6    Bob
213       22685.497  SEM_POST           tid=1   room=-  sem=50   msgs=6    Bob
214       23688.703  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
215       23688.707  ACQUIRED_LOCK      tid=5   room=A  sem=-1   msgs=0    Charlie
216       23688.708  RELEASED_LOCK      tid=5   room=A  sem=-1   msgs=0    Charlie
217       23688.708  MSG_BROADCAST      tid=5   room=A  sem=49   msgs=6    Charlie
218       23688.708  SEM_POST           tid=5   room=-  sem=50   msgs=6    Charlie
219       24691.593  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
220       24691.595  ACQUIRED_LOCK      tid=4   room=B  sem=-1   msgs=0    Diana
221       24691.596  RELEASED_LOCK      tid=4   room=B  sem=-1   msgs=0    Diana
222       24691.596  MSG_BROADCAST      tid=4   room=B  sem=49   msgs=6    Diana
223       24691.596  SEM_POST           tid=4   room=-  sem=50   msgs=6    Diana
224       25691.888  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
225       25691.890  ACQUIRED_LOCK      tid=3   room=C  sem=-1   msgs=0    Eve
226       25691.891  RELEASED_LOCK      tid=3   room=C  sem=-1   msgs=0    Eve
227       25691.891  MSG_BROADCAST      tid=3   room=C  sem=49   msgs=6    Eve
228       25691.891  SEM_POST           tid=3   room=-  sem=50   msgs=6    Eve
229       26700.807  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
230       26700.813  ACQUIRED_LOCK      tid=7   room=A  sem=-1   msgs=0    Frank
231       26700.815  RELEASED_LOCK      tid=7   room=A  sem=-1   msgs=0    Frank
232       26700.815  MSG_BROADCAST      tid=7   room=A  sem=49   msgs=6    Frank
233       26700.816  SEM_POST           tid=7   room=-  sem=50   msgs=6    Frank
234       27702.184  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
235       27702.187  ACQUIRED_LOCK      tid=0   room=B  sem=-1   msgs=0    Grace
236       27702.188  RELEASED_LOCK      tid=0   room=B  sem=-1   msgs=0    Grace
237       27702.188  MSG_BROADCAST      tid=0   room=B  sem=49   msgs=7    Grace
238       27702.188  SEM_POST           tid=0   room=-  sem=50   msgs=7    Grace
239       28702.252  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
240       28702.254  ACQUIRED_LOCK      tid=2   room=C  sem=-1   msgs=0    Hank
241       28702.255  RELEASED_LOCK      tid=2   room=C  sem=-1   msgs=0    Hank
